circuit,percentDnf
Albert Park Grand Prix Circuit,0.25
Autodromo Enzo e Dino Ferrari,0.17647058823529413
Autodromo Nazionale di Monza,0.13529411764705881
Autódromo Hermanos Rodríguez,0.13821138211382114
Autódromo José Carlos Pace,0.1366906474820144
Bahrain International Circuit,0.13114754098360656
Baku City Circuit,0.20909090909090908
Circuit Gilles Villeneuve,0.1079136690647482
Circuit de Barcelona-Catalunya,0.11560693641618497
Circuit de Monaco,0.15483870967741936
Circuit de Spa-Francorchamps,0.16666666666666666
Circuit of the Americas,0.19594594594594594
Hungaroring,0.13218390804597702
Jeddah Corniche Circuit,0.17647058823529413
Marina Bay Street Circuit,0.20714285714285716
Red Bull Ring,0.16574585635359115
Silverstone Circuit,0.15263157894736842
Suzuka Circuit,0.14893617021276595
Yas Marina Circuit,0.12179487179487179
